plot,grid_number,date,abundance,plot_grid,treatment,complexity,plot_date,days_since_outplanting
HN,18,09-Jul-19,2,HN - 18,0%,High,HN - 09-Jul-19,30
HN,18,11-Jun-19,11,HN - 18,0%,High,HN - 11-Jun-19,5
HN,18,13-Jun-19,2,HN - 18,0%,High,HN - 13-Jun-19,7
HN,18,15-Jul-19,2,HN - 18,0%,High,HN - 15-Jul-19,33
HN,18,15-Jun-19,4,HN - 18,0%,High,HN - 15-Jun-19,9
HN,18,20-Jul-19,4,HN - 18,0%,High,HN - 20-Jul-19,37
HN,18,20-Jun-19,2,HN - 18,0%,High,HN - 20-Jun-19,11
HN,18,25-Jul-19,4,HN - 18,0%,High,HN - 25-Jul-19,43
HN,18,25-Jun-19,4,HN - 18,0%,High,HN - 25-Jun-19,13
HN,18,28-Jul-19,0,HN - 18,0%,High,HN - 28-Jul-19,48
HN,18,28-Jun-19,12,HN - 18,0%,High,HN - 28-Jun-19,18
HN,19,02-Jul-19,3,HN - 19,30%,High,HN - 02-Jul-19,23
HN,19,05-Jul-19,1,HN - 19,30%,High,HN - 05-Jul-19,26
HN,19,05-Jun-19,0,HN - 19,30%,High,HN - 05-Jun-19,1
HN,19,06-Jun-19,1,HN - 19,30%,High,HN - 06-Jun-19,2
HN,19,07-Jun-19,1,HN - 19,30%,High,HN - 07-Jun-19,3
HN,19,09-Jul-19,4,HN - 19,30%,High,HN - 09-Jul-19,30
HN,19,11-Jun-19,0,HN - 19,30%,High,HN - 11-Jun-19,5
HN,19,13-Jun-19,5,HN - 19,30%,High,HN - 13-Jun-19,7
HN,19,15-Jul-19,0,HN - 19,30%,High,HN - 15-Jul-19,33
HN,19,15-Jun-19,4,HN - 19,30%,High,HN - 15-Jun-19,9
HN,19,20-Jul-19,1,HN - 19,30%,High,HN - 20-Jul-19,37
HN,19,20-Jun-19,8,HN - 19,30%,High,HN - 20-Jun-19,11
HN,19,25-Jul-19,0,HN - 19,30%,High,HN - 25-Jul-19,43
HN,19,25-Jun-19,0,HN - 19,30%,High,HN - 25-Jun-19,13
HN,19,28-Jul-19,1,HN - 19,30%,High,HN - 28-Jul-19,48
HN,19,28-Jun-19,4,HN - 19,30%,High,HN - 28-Jun-19,18
HN,20,02-Jul-19,1,HN - 20,0%,High,HN - 02-Jul-19,23
HN,20,05-Jul-19,0,HN - 20,0%,High,HN - 05-Jul-19,26
HN,20,05-Jun-19,1,HN - 20,0%,High,HN - 05-Jun-19,1
HN,20,06-Jun-19,0,HN - 20,0%,High,HN - 06-Jun-19,2
HN,20,07-Jun-19,0,HN - 20,0%,High,HN - 07-Jun-19,3
HN,20,09-Jul-19,0,HN - 20,0%,High,HN - 09-Jul-19,30
HN,20,11-Jun-19,1,HN - 20,0%,High,HN - 11-Jun-19,5
HN,20,13-Jun-19,7,HN - 20,0%,High,HN - 13-Jun-19,7
HN,20,15-Jul-19,0,HN - 20,0%,High,HN - 15-Jul-19,33
HN,20,15-Jun-19,3,HN - 20,0%,High,HN - 15-Jun-19,9
HN,20,20-Jul-19,0,HN - 20,0%,High,HN - 20-Jul-19,37
HN,20,20-Jun-19,0,HN - 20,0%,High,HN - 20-Jun-19,11
HN,20,25-Jul-19,0,HN - 20,0%,High,HN - 25-Jul-19,43
HN,20,25-Jun-19,9,HN - 20,0%,High,HN - 25-Jun-19,13
HN,20,28-Jul-19,0,HN - 20,0%,High,HN - 28-Jul-19,48
HN,20,28-Jun-19,13,HN - 20,0%,High,HN - 28-Jun-19,18
HN,21,02-Jul-19,4,HN - 21,70%,High,HN - 02-Jul-19,23
HN,21,05-Jul-19,11,HN - 21,70%,High,HN - 05-Jul-19,26
HN,21,05-Jun-19,5,HN - 21,70%,High,HN - 05-Jun-19,1
HN,21,06-Jun-19,9,HN - 21,70%,High,HN - 06-Jun-19,2
